,Player,Tm,G,Pos,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,PTS_VAR,TRB_VAR,AST_VAR,STL_VAR,BLK_VAR,FG%_VAR,3P%_VAR,FT%_VAR,TOT_VAR
215,Shai Gilgeous-Alexander,OKC,75,PG,42.4,7.8,8.8,2.8,1.3,0.535,0.353,0.874,2.51,1.02,0.22,2.45,2.59,2.44,-0.46,0.52,12.21
216,Simone Fontecchio,TOT,66,SF,20.3,7.2,3.0,1.3,0.7,0.46,0.401,0.818,0.16,0.0,-0.35,-0.2,0.0,0.17,0.83,0.3,2.01
217,Spencer Dinwiddie,TOT,76,PG,18.1,4.7,8.1,1.2,0.5,0.392,0.337,0.805,-0.53,-0.73,-0.06,-0.57,0.15,-1.64,-0.89,-0.38,4.95
218,Stephen Curry,GSW,74,PG,39.1,6.6,7.6,1.1,0.6,0.45,0.408,0.923,2.09,0.34,-0.26,-0.75,0.46,0.01,1.03,1.15,6.09
219,T.J. McConnell,IND,71,PG,26.6,7.0,14.3,2.6,0.3,0.556,0.409,0.79,0.53,0.56,2.38,2.07,-0.46,3.04,1.06,-0.58,10.68
220,Taurean Prince,LAL,78,PF,15.7,5.2,2.7,1.3,0.8,0.442,0.396,0.735,-0.81,-1.61,-0.57,0.0,-0.27,-0.51,0.34,-0.12,4.23
221,Terance Mann,LAC,75,SG,17.3,6.7,3.1,1.1,0.4,0.515,0.348,0.832,-0.81,0.33,-0.85,-0.85,-0.72,1.74,-0.52,0.5,6.32
222,Terry Rozier,TOT,61,PG,29.3,6.0,8.3,1.5,0.5,0.443,0.363,0.869,0.87,0.0,0.02,0.0,0.15,-0.19,-0.19,0.45,1.87
223,Tim Hardaway Jr.,DAL,79,SF,25.8,5.7,3.1,1.0,0.1,0.402,0.353,0.852,1.12,-0.63,-0.29,-0.8,-1.23,-1.35,-0.07,0.7,6.19
224,Tobias Harris,PHI,70,PF,25.0,9.4,4.5,1.5,1.0,0.487,0.353,0.878,0.4,0.0,0.22,0.5,0.0,0.28,-0.25,1.46,3.11
225,Toumani Camara,POR,70,PF,15.0,9.7,2.5,1.9,0.9,0.45,0.337,0.758,-0.9,0.11,-0.66,1.51,-0.13,-0.37,-0.47,0.13,4.28
226,Trayce Jackson-Davis,GSW,68,PF,23.1,14.6,3.5,1.2,3.3,0.702,0.0,0.561,0.16,1.99,-0.22,-0.25,3.06,4.04,-5.08,-2.05,16.85
227,Tre Jones,SAS,77,PG,17.1,6.4,10.6,1.7,0.2,0.505,0.335,0.856,-0.66,0.23,0.92,0.38,-0.76,1.58,-0.95,0.28,5.76
228,Trendon Watford,BRK,63,PF,25.0,11.2,4.7,1.3,1.1,0.527,0.397,0.794,0.4,0.69,0.31,0.0,0.13,0.98,0.36,0.53,3.4
229,Trey Lyles,SAC,58,PF,17.6,10.8,3.0,0.7,0.8,0.445,0.384,0.7,-0.56,0.54,-0.44,-1.51,-0.27,-0.45,0.18,-0.51,4.46
