,Player,Tm,G,Pos,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,PTS_VAR,TRB_VAR,AST_VAR,STL_VAR,BLK_VAR,FG%_VAR,3P%_VAR,FT%_VAR,TOT_VAR
83,Gary Trent Jr.,TOR,71,SG,23.6,4.6,2.9,1.9,0.2,0.426,0.393,0.771,0.2,-0.82,-0.94,0.85,-1.2,-0.8,0.41,-0.34,5.56
84,Georges Niang,CLE,82,PF,20.7,7.5,2.6,0.8,0.5,0.449,0.376,0.85,-0.16,-0.73,-0.62,-1.26,-0.67,-0.38,0.07,1.15,5.04
85,Giannis Antetokounmpo,MIL,73,PF,41.6,15.7,8.9,1.6,1.5,0.611,0.274,0.657,2.57,2.41,2.16,0.76,0.67,2.45,-1.33,-0.99,13.34
86,Goga Bitadze,ORL,62,C,16.1,14.8,4.1,1.7,3.7,0.603,0.143,0.655,-0.94,0.0,0.04,0.77,1.62,0.41,-0.83,-1.08,5.69
87,Gradey Dick,TOR,60,SG,19.4,5.0,2.6,1.3,0.1,0.425,0.365,0.863,-0.47,-0.6,-1.07,-0.43,-1.44,-0.83,-0.17,0.93,5.94
88,Grant Williams,TOT,76,PF,17.9,7.2,4.0,1.0,0.9,0.456,0.375,0.757,-0.52,-0.84,0.0,-0.76,-0.13,-0.26,0.05,0.12,2.68
89,Grayson Allen,PHO,75,SG,19.7,5.7,4.4,1.3,0.9,0.499,0.461,0.878,-0.43,-0.22,-0.25,-0.43,0.48,1.28,1.82,1.13,6.04
90,Harrison Barnes,SAC,82,PF,20.4,5.1,2.0,1.1,0.2,0.474,0.387,0.801,-0.2,-1.65,-0.88,-0.5,-1.07,0.05,0.22,0.61,5.18
91,Haywood Highsmith,MIA,66,PF,14.8,7.7,2.6,1.9,1.1,0.465,0.396,0.639,-0.93,-0.65,-0.62,1.51,0.13,-0.1,0.34,-1.18,5.46
92,Herbert Jones,NOP,76,SF,17.7,5.7,4.2,2.2,1.3,0.498,0.418,0.867,-0.29,-0.63,0.41,1.61,1.23,1.16,1.14,0.88,7.35
93,Immanuel Quickley,TOT,68,PG,28.6,6.4,8.2,1.2,0.2,0.434,0.395,0.853,0.78,0.23,-0.02,-0.57,-0.76,-0.44,0.68,0.24,3.72
94,Isaac Okoro,CLE,69,SF,16.9,5.4,3.5,1.5,0.9,0.49,0.391,0.679,-0.43,-0.76,-0.03,0.2,0.41,0.95,0.64,-1.36,4.78
95,Isaiah Hartenstein,NYK,75,C,15.5,16.6,5.0,2.3,2.3,0.644,0.333,0.707,-1.04,0.52,0.42,1.94,0.43,0.94,0.04,-0.44,5.77
96,Isaiah Jackson,IND,59,C,23.4,14.6,3.1,2.1,3.7,0.665,0.0,0.716,0.24,-0.06,-0.38,1.55,1.62,1.21,-1.48,-0.32,6.86
97,Isaiah Joe,OKC,78,SG,21.2,6.0,3.3,1.5,0.7,0.458,0.416,0.865,-0.18,-0.05,-0.75,0.0,0.0,0.11,0.89,0.95,2.93
98,Ivica Zubac,LAC,68,C,21.9,17.2,2.6,0.6,2.3,0.649,,0.723,0.0,0.69,-0.58,-1.36,0.43,1.01,3.0,-0.24,7.31
99,JT Thor,CHO,63,PF,12.6,9.2,1.8,0.7,1.7,0.437,0.346,0.55,-1.21,-0.08,-0.97,-1.51,0.93,-0.59,-0.34,-2.17,7.8
100,Jabari Smith Jr.,HOU,76,PF,20.9,12.3,2.4,1.0,1.2,0.454,0.363,0.811,-0.13,1.11,-0.71,-0.76,0.27,-0.3,-0.11,0.72,4.11
101,Jabari Walker,POR,72,SF,18.5,14.8,2.1,1.2,0.6,0.46,0.295,0.754,-0.15,3.21,-0.93,-0.4,-0.2,0.17,-1.14,-0.46,6.66
102,Jaden Hardy,DAL,73,SG,25.7,6.4,5.3,1.1,0.2,0.407,0.362,0.776,0.54,0.16,0.16,-0.85,-1.2,-1.34,-0.23,-0.27,4.75
103,Jaden Ivey,DET,77,SG,25.7,5.7,6.4,1.2,0.9,0.429,0.336,0.749,0.54,-0.22,0.66,-0.64,0.48,-0.71,-0.76,-0.64,4.65
104,Jaden McDaniels,MIN,72,SF,17.8,5.3,2.4,1.5,1.0,0.489,0.337,0.722,-0.27,-0.8,-0.73,0.2,0.61,0.93,-0.36,-0.85,4.75
105,Jae'Sean Tate,HOU,65,SF,12.5,9.3,3.0,2.0,0.7,0.472,0.299,0.667,-1.19,0.89,-0.35,1.21,0.0,0.48,-1.07,-1.5,6.69
106,Jaime Jaquez Jr.,MIA,75,SF,21.0,6.7,4.6,1.8,0.5,0.489,0.322,0.811,0.29,-0.21,0.67,0.8,-0.41,0.93,-0.64,0.21,4.16
107,Jalen Brunson,NYK,77,PG,40.9,5.1,9.6,1.3,0.2,0.479,0.401,0.847,2.32,-0.51,0.53,-0.38,-0.76,0.84,0.84,0.16,6.34
108,Jalen Duren,DET,61,C,22.8,19.2,4.0,0.9,1.3,0.619,0.0,0.79,0.15,1.26,0.0,-0.77,-0.43,0.62,-1.48,0.6,5.31
109,Jalen Green,HOU,82,SG,30.0,7.9,5.4,1.2,0.5,0.423,0.332,0.804,1.23,0.98,0.21,-0.64,-0.48,-0.88,-0.85,0.12,5.39
110,Jalen Smith,IND,61,C,27.1,15.2,2.8,0.8,1.7,0.592,0.424,0.692,0.84,0.11,-0.5,-0.97,-0.09,0.27,0.45,-0.62,3.85
111,Jalen Suggs,ORL,75,SG,23.1,5.6,5.0,2.6,1.1,0.471,0.397,0.756,0.12,-0.27,0.02,2.35,0.96,0.49,0.5,-0.54,5.25
112,Jalen Williams,OKC,71,PF,29.3,6.1,7.0,1.7,1.0,0.54,0.427,0.814,0.96,-1.26,1.32,1.01,0.0,1.21,0.77,0.75,7.28
113,Jamal Murray,DEN,59,PG,33.3,6.4,10.2,1.5,1.0,0.481,0.425,0.853,1.37,0.23,0.77,0.0,1.67,0.9,1.49,0.24,6.67
114,James Harden,LAC,72,PG,23.8,7.4,12.3,1.5,1.1,0.428,0.381,0.878,0.18,0.79,1.59,0.0,1.98,-0.61,0.3,0.57,6.02
115,James Wiseman,DET,63,C,19.7,14.8,2.4,0.5,1.7,0.613,0.0,0.706,-0.36,0.0,-0.67,-1.55,-0.09,0.54,-1.48,-0.45,5.14
116,Jaren Jackson Jr.,MEM,66,C,34.2,8.4,3.5,1.8,2.4,0.444,0.32,0.808,1.99,-1.83,-0.21,0.97,0.51,-1.64,-0.02,0.82,7.99
117,Jarrett Allen,CLE,77,C,25.7,16.4,4.2,1.1,1.6,0.634,0.0,0.742,0.62,0.46,0.08,-0.39,-0.17,0.81,-1.48,0.0,4.01
118,Jaxson Hayes,LAL,70,C,16.4,11.4,1.8,1.8,1.6,0.72,0.0,0.622,-0.89,-0.97,-0.92,0.97,-0.17,1.93,-1.48,-1.49,8.82
119,Jaylen Brown,BOS,70,SF,34.0,8.2,5.3,1.8,0.8,0.499,0.354,0.703,2.54,0.42,1.12,0.8,0.2,1.19,-0.05,-1.07,7.39
120,Jaylin Williams,OKC,69,C,14.8,12.5,5.9,1.5,1.4,0.417,0.368,0.805,-1.15,-0.66,0.79,0.39,-0.34,-1.99,0.2,0.78,6.3
121,Jayson Tatum,BOS,74,PF,37.1,11.2,6.8,1.4,0.8,0.471,0.376,0.833,1.98,0.69,1.24,0.25,-0.27,0.0,0.07,0.96,5.46
122,Jeff Green,HOU,78,PF,18.9,6.6,2.6,0.6,1.2,0.456,0.331,0.819,-0.39,-1.07,-0.62,-1.76,0.27,-0.26,-0.55,0.81,5.73
123,Jeremy Sochan,SAS,74,PF,18.6,10.3,5.4,1.3,0.9,0.438,0.308,0.771,-0.43,0.34,0.62,0.0,-0.13,-0.58,-0.86,0.28,3.24
124,Jevon Carter,CHI,72,PG,17.7,3.0,4.7,1.8,0.8,0.378,0.329,0.571,-0.58,-1.69,-1.39,0.57,1.06,-2.04,-1.11,-3.44,11.88
125,Jimmy Butler,MIA,60,PF,30.4,7.8,7.3,1.9,0.4,0.499,0.414,0.858,1.11,-0.61,1.46,1.51,-0.8,0.49,0.59,1.24,7.81
126,Joe Ingles,ORL,68,SF,12.5,6.0,8.6,1.8,0.2,0.436,0.435,0.824,-1.19,-0.51,3.22,0.8,-1.02,-0.46,1.46,0.37,9.03
127,John Collins,UTA,68,PF,26.1,14.6,2.0,1.0,1.5,0.532,0.371,0.795,0.55,1.99,-0.88,-0.76,0.67,1.07,0.0,0.54,6.46
128,Jonas ValanÄiÅ«nas,NOP,82,C,25.5,18.4,4.4,0.8,1.7,0.559,0.308,0.785,0.58,1.03,0.17,-0.97,-0.09,-0.16,-0.08,0.54,3.62
129,Jonathan Isaac,ORL,58,PF,21.3,14.1,1.6,2.3,3.8,0.51,0.375,0.72,-0.08,1.8,-1.06,2.52,3.73,0.68,0.05,-0.29,10.21
130,Jonathan Kuminga,GSW,74,PF,29.5,8.8,4.0,1.4,0.9,0.529,0.321,0.746,0.99,-0.23,0.0,0.25,-0.13,1.01,-0.68,0.0,3.29
131,Jordan Hawkins,NOP,67,SG,22.1,6.3,3.0,0.8,0.3,0.382,0.366,0.838,-0.04,0.11,-0.89,-1.49,-0.96,-2.05,-0.14,0.58,6.26
132,Jordan Poole,WAS,78,SG,27.0,4.2,6.8,1.7,0.5,0.413,0.326,0.877,0.75,-1.04,0.85,0.43,-0.48,-1.17,-0.97,1.12,6.81
133,Josh Giddey,OKC,80,SG,23.6,12.3,9.2,1.2,1.1,0.475,0.337,0.806,0.2,3.39,1.94,-0.64,0.96,0.6,-0.74,0.14,8.61
134,Josh Hart,NYK,81,SF,14.2,12.6,6.2,1.4,0.4,0.434,0.31,0.791,-0.89,2.28,1.69,0.0,-0.61,-0.51,-0.86,-0.02,6.86
135,Josh Okogie,PHO,60,SG,14.1,7.8,3.3,2.4,1.2,0.417,0.309,0.745,-1.32,0.93,-0.75,1.92,1.2,-1.06,-1.32,-0.69,9.19
136,Jrue Holiday,BOS,69,PG,18.8,8.1,7.3,1.3,1.2,0.48,0.429,0.833,-0.44,1.18,-0.37,-0.38,2.28,0.87,1.6,-0.02,7.14
137,Julian Champagnie,SAS,74,SF,16.3,6.7,3.3,1.6,1.4,0.408,0.365,0.815,-0.53,-0.21,-0.16,0.4,1.43,-1.19,0.16,0.26,4.34
138,Justin Holiday,DEN,58,SG,13.5,4.1,3.9,2.1,0.5,0.454,0.404,0.75,-1.42,-1.09,-0.48,1.28,-0.48,0.0,0.64,-0.62,6.01
139,Jusuf NurkiÄ,PHO,76,C,19.5,19.7,7.1,1.9,1.9,0.51,0.244,0.64,-0.39,1.4,1.29,1.16,0.09,-0.79,-0.37,-1.27,6.76
140,KJ Martin,TOT,60,SF,14.8,8.6,3.4,1.5,0.8,0.536,0.286,0.537,-0.79,0.59,-0.1,0.2,0.2,2.16,-1.31,-3.05,8.4
141,Karl-Anthony Towns,MIN,62,PF,32.9,12.6,4.6,1.0,1.0,0.504,0.416,0.873,1.43,1.23,0.26,-0.76,0.0,0.58,0.62,1.41,6.29
142,Kawhi Leonard,LAC,68,SF,34.2,8.8,5.2,2.4,1.3,0.525,0.417,0.885,2.58,0.68,1.05,2.01,1.23,1.87,1.12,1.1,11.64
143,Keegan Murray,SAC,77,SF,22.0,7.9,2.4,1.5,1.1,0.454,0.358,0.831,0.46,0.3,-0.73,0.2,0.82,0.01,0.03,0.45,3.0
144,Keldon Johnson,SAS,69,SF,25.2,8.8,4.5,1.2,0.5,0.454,0.346,0.792,1.02,0.68,0.61,-0.4,-0.41,0.01,-0.2,-0.01,3.34
145,Kelly Olynyk,TOT,78,C,20.9,11.3,9.5,2.0,0.8,0.555,0.387,0.833,-0.16,-1.0,2.29,1.36,-0.85,-0.21,0.28,1.13,7.28
146,Kelly Oubre Jr.,PHI,68,SF,25.1,8.2,2.4,1.8,1.1,0.441,0.311,0.75,1.0,0.42,-0.73,0.8,0.82,-0.33,-0.85,-0.51,5.46
147,Kenrich Williams,OKC,69,PF,15.2,9.8,4.3,1.8,0.4,0.468,0.397,0.5,-0.87,0.15,0.13,1.26,-0.8,-0.05,0.36,-2.72,6.34
148,Kentavious Caldwell-Pope,DEN,76,SG,15.8,3.8,3.8,2.0,0.9,0.46,0.406,0.894,-1.05,-1.26,-0.53,1.07,0.48,0.17,0.68,1.35,6.59
149,Kevin Durant,PHO,75,PF,35.5,8.7,6.6,1.2,1.6,0.523,0.413,0.856,1.77,-0.27,1.15,-0.25,0.8,0.91,0.57,1.22,6.94
150,Kevin Huerter,SAC,64,SG,20.4,7.0,5.2,1.4,0.7,0.443,0.361,0.766,-0.31,0.49,0.11,-0.21,0.0,-0.31,-0.25,-0.41,2.09
151,Kevon Looney,GSW,74,C,13.5,17.0,5.4,1.1,1.2,0.597,0.0,0.675,-1.36,0.63,0.58,-0.39,-0.51,0.34,-1.48,-0.83,6.12
152,Keyonte George,UTA,75,PG,23.2,5.0,7.9,0.9,0.2,0.391,0.334,0.848,0.11,-0.56,-0.14,-1.13,-0.76,-1.67,-0.98,0.18,5.53
153,Klay Thompson,GSW,77,SF,29.1,5.4,3.7,1.1,0.7,0.432,0.387,0.927,1.69,-0.76,0.1,-0.6,0.0,-0.56,0.57,1.6,5.88
154,Kris Dunn,UTA,66,PG,13.8,7.3,9.8,2.6,1.1,0.47,0.369,0.688,-1.07,0.73,0.61,2.07,1.98,0.58,-0.03,-1.91,8.98
155,Kris Murray,POR,62,SF,13.8,8.2,2.9,1.9,0.8,0.396,0.268,0.661,-0.96,0.42,-0.41,1.01,0.2,-1.5,-1.64,-1.57,7.71
156,Kyle Anderson,MIN,79,PF,14.0,7.6,9.2,2.0,1.3,0.46,0.229,0.708,-1.03,-0.69,2.3,1.76,0.4,-0.19,-1.94,-0.42,8.73
157,Kyle Kuzma,WAS,70,PF,31.8,9.5,6.1,0.8,1.0,0.463,0.336,0.775,1.29,0.04,0.93,-1.26,0.0,-0.14,-0.48,0.32,4.46
158,Kyle Lowry,TOT,60,PG,14.3,5.7,7.4,1.7,0.6,0.432,0.392,0.84,-1.01,-0.17,-0.33,0.38,0.46,-0.5,0.6,0.07,3.52
159,Kyrie Irving,DAL,58,SG,35.1,6.9,7.1,1.7,0.7,0.497,0.411,0.905,2.05,0.44,0.98,0.43,0.0,1.23,0.79,1.5,7.42
160,Larry Nance Jr.,NOP,61,C,14.1,12.4,4.6,2.5,0.8,0.573,0.415,0.77,-1.26,-0.69,0.25,2.32,-0.85,0.03,0.41,0.35,6.16
161,LeBron James,LAL,71,PF,34.6,9.8,11.2,1.7,0.7,0.54,0.41,0.75,1.65,0.15,3.18,1.01,-0.4,1.21,0.53,0.04,8.17
162,Lonnie Walker IV,BRK,58,SG,27.7,6.2,3.6,1.6,1.0,0.423,0.384,0.763,0.86,0.05,-0.62,0.21,0.72,-0.88,0.23,-0.45,4.02
163,Luguentz Dort,OKC,79,SF,18.4,6.1,2.4,1.5,1.0,0.438,0.394,0.826,-0.16,-0.46,-0.73,0.2,0.61,-0.41,0.7,0.39,3.66
164,Luka DonÄiÄ,DAL,70,PG,43.3,11.8,12.5,1.8,0.7,0.487,0.382,0.786,2.62,3.27,1.67,0.57,0.76,1.07,0.33,-0.63,10.92
165,Luke Kornet,BOS,63,C,16.8,13.1,3.4,1.2,3.1,0.7,1.0,0.907,-0.83,-0.49,-0.25,-0.19,1.11,1.67,3.07,2.06,9.67
166,Malachi Flynn,TOT,69,PG,21.0,6.3,7.2,2.1,0.4,0.418,0.331,0.732,-0.17,0.17,-0.41,1.13,-0.15,-0.9,-1.06,-1.34,5.33
167,Malaki Branham,SAS,75,PG,20.5,4.4,4.6,0.8,0.2,0.432,0.347,0.873,-0.23,-0.9,-1.43,-1.32,-0.76,-0.5,-0.62,0.5,6.26
168,Malik Beasley,MIL,79,SG,18.3,6.0,2.2,1.2,0.2,0.443,0.413,0.714,-0.65,-0.05,-1.26,-0.64,-1.2,-0.31,0.83,-1.12,6.06
169,Malik Monk,SAC,72,SG,28.8,5.5,9.6,1.2,1.0,0.443,0.35,0.829,1.04,-0.33,2.13,-0.64,0.72,-0.31,-0.48,0.46,6.11
170,Marcus Sasser,DET,71,PG,20.9,4.5,8.4,1.6,0.4,0.428,0.375,0.879,-0.18,-0.85,0.06,0.19,-0.15,-0.61,0.14,0.58,2.76
171,Matisse Thybulle,POR,65,SF,11.8,4.5,3.0,3.8,1.6,0.397,0.346,0.759,-1.31,-1.14,-0.35,4.83,1.84,-1.48,-0.2,-0.41,11.56
172,Max Christie,LAL,67,SG,14.3,7.2,3.0,1.0,0.9,0.427,0.356,0.783,-1.29,0.6,-0.89,-1.07,0.48,-0.77,-0.35,-0.17,5.62
173,Max Strus,CLE,70,SF,18.8,7.5,6.2,1.4,0.6,0.418,0.351,0.794,-0.1,0.13,1.69,0.0,-0.2,-0.93,-0.1,0.01,3.16
174,Michael Porter Jr.,DEN,81,SF,26.2,10.9,2.4,0.8,1.0,0.484,0.397,0.836,1.19,1.56,-0.73,-1.21,0.61,0.8,0.75,0.51,7.36
175,Mikal Bridges,BRK,82,SF,27.9,6.5,5.2,1.4,0.5,0.436,0.372,0.814,1.48,-0.3,1.05,0.0,-0.41,-0.46,0.29,0.25,4.24
176,Mike Conley,MIN,76,PG,19.6,4.9,10.1,2.0,0.4,0.457,0.442,0.911,-0.34,-0.62,0.73,0.94,-0.15,0.21,1.95,1.0,5.94
177,Miles Bridges,CHO,69,SF,27.7,9.7,4.4,1.2,0.6,0.462,0.349,0.825,1.45,1.06,0.54,-0.4,-0.2,0.22,-0.14,0.38,4.39
178,Miles McBride,NYK,68,PG,21.3,3.8,4.3,1.9,0.3,0.452,0.41,0.86,-0.13,-1.24,-1.55,0.75,-0.46,0.07,1.08,0.33,5.61
179,Moritz Wagner,ORL,80,C,30.4,12.1,3.4,1.4,0.7,0.601,0.33,0.814,1.38,-0.77,-0.25,0.19,-0.94,0.39,0.02,0.9,4.84
180,Moses Moody,GSW,66,SG,22.3,8.2,2.4,1.8,1.0,0.462,0.36,0.785,-0.01,1.15,-1.17,0.64,0.72,0.23,-0.27,-0.14,4.33
181,Myles Turner,IND,77,C,29.8,12.1,2.3,0.9,3.3,0.524,0.358,0.773,1.28,-0.77,-0.71,-0.77,1.28,-0.61,0.15,0.39,5.96
